cell_line	Cell cycle (TSG)	Cell cycle (merged)	Cell cycle (oncogene)	Chromatin SWI/SNF complex	Chromatin histone demethylases	Chromatin histone methyltransferases	Chromatin other	FGFR	Genome integrity	HR_CHRIS	HR_FULL	MAPK signaling (colm)	MAPK signaling merged)	MMR	Metabolism	Notch signaling (oncogene or TSG)	PI3K signaling (TSG)	PI3K signaling (merged)	PI3K signaling (oncogenes)	PRC2	RTK signaling	Splicing	TGF-_ signaling (TSG)	TOR signaling (TSG)	Transcription factor lineage dependency or oncogene	Transcription factor other	Translation/protein homeostasis/ubiquitination	Wnt/_-catenin signaling (TSG)
RD_SOFT_TISSUE	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
TE5_OESOPHAGUS	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1
SKES1_BONE	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MCF7_BREAST	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0
H2228_LUNG	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0
TE6_OESOPHAGUS	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0
CAL120_BREAST	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1
MFM223_BREAST	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0
TOV112D_OVARY	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TE9_OESOPHAGUS	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OV90_OVARY	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HPAC_PANCREAS	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0
HT1080_SOFT_TISSUE	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
BT474_BREAST	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0
HCC1954_BREAST	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1
A549_LUNG	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MDAMB453_BREAST	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0
OE19_OESOPHAGUS	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0
H2342_LUNG	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0
CAL51_BREAST	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0
HELA_CERVICAL	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
H727_LUNG	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OV56_OVARY	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0
BEN_LUNG	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
TE1_OESOPHAGUS	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
CAOV3_OVARY	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0
SKGT4_OESOPHAGUS	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0
BT549_BREAST	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ASPC1_PANCREAS	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
H1650_LUNG	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1
TE10_OESOPHAGUS	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0
H460_LUNG	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0
HCC2218_BREAST	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
H23_LUNG	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0
MIAPACA2_PANCREAS	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KYSE70_OESOPHAGUS	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0
KYAE1_OESOPHAGUS	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1143_BREAST	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0
MDAMB436_BREAST	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0
HS578T_BREAST	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
MDAMB361_BREAST	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0
COLO824_BREAST	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C2BBE1_LARGE_INTESTINE	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
PANC0403_PANCREAS	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HUTU80_SMALL_INTESTINE	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
VMRCLCD_LUNG	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANC0813_PANCREAS	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
H2029_LUNG	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SKMEL24_SKIN	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MELJUSO_SKIN	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0
NB1_AUTONOMIC_GANGLIA	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0
H2087_LUNG	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
EFO21_OVARY	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0
CORL95_LUNG	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACHN_KIDNEY	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H1666_LUNG	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0
PSN1_PANCREAS	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
JHH4_LIVER	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SKNAS_AUTONOMIC_GANGLIA	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
SNU407_LARGE_INTESTINE	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1
H2291_LUNG	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CW2_LARGE_INTESTINE	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
TE441T_SOFT_TISSUE	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OVKATE_OVARY	0	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0
H1155_LUNG	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1
8305C_THYROID	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC38_BREAST	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
RCC10RGB_KIDNEY	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
PATU8902_PANCREAS	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YAPC_PANCREAS	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H2196_LUNG	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HCT15_LARGE_INTESTINE	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1
CORL105_LUNG	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
MPP89_PLEURA	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MKN45_STOMACH	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ABC1_LUNG	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0
HS936T_SKIN	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
H1355_LUNG	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OVK18_OVARY	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0
AU565_BREAST	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
JHH2_LIVER	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0
OCUM1_STOMACH	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OVCAR8_OVARY	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1
H446_LUNG	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0
COLO205_LARGE_INTESTINE	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1
HCC1569_BREAST	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0
NMCG1_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RKO_LARGE_INTESTINE	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0
KELLY_AUTONOMIC_GANGLIA	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HCC1806_BREAST	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0
H226_LUNG	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OV7_OVARY	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1
H810_LUNG	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0
DAOY_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
CADOES1_BONE	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0
KYSE510_OESOPHAGUS	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1
SNU283_LARGE_INTESTINE	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
8MGBA_CENTRAL_NERVOUS_SYSTEM	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0
647V_URINARY_TRACT	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3A_LIVER	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
KYSE450_OESOPHAGUS	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0
KNS62_LUNG	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MHHES1_BONE	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0
TT2609C02_THYROID	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
HEP3B217_LIVER	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNU1040_LARGE_INTESTINE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
G292_BONE	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CL40_LARGE_INTESTINE	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
H82_LUNG	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
SW1271_LUNG	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
HCC1428_BREAST	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0
HCC56_LARGE_INTESTINE	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0
COLO668_LUNG	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
