marker	target	nA	nB	sensitive.threshold	med.grpA	med.grpB	med.grpA-med.grpB	count.grpA.sens	count.grpB.sens	percent.grpA.sens	percent.grpB.sens	min.grpA	min.grpB	spearman.r	spearman.p	wilcox.p	mptest.p
BONE	CDK11A_ENSG00000008128	18	99	-9.86	-3.005	-3.27	0.265	0	10	0	10.1010101010101	-6.64	-26.35	0.063477323750573	0.751724495695072	0.754100051523671	NA
BONE	CDK13_ENSG00000065883	18	99	-1.46875	0.525	0.29	0.235	0	3	0	3.03030303030303	-0.11	-2.75	0.173151395513886	0.9684699468859	0.968603520370222	NA
BONE	CDC42BPA_ENSG00000143776	18	99	-3.63	-1.455	-0.79	-0.665	0	4	0	4.04040404040404	-3.05	-5.16	-0.180617350025015	0.0256621509826585	0.0260969457100949	NA
BONE	CDC42BPB_ENSG00000198752	18	99	-0.99	0.005	0.45	-0.445	1	4	5.55555555555556	4.04040404040404	-1.87	-1.72	-0.246215959251127	0.00372571586829863	0.00404788343883551	NA
BONE	CDC7_ENSG00000097046	18	99	-2.045	0.595	0	0.595	0	3	0	3.03030303030303	-0.49	-3.56	0.292849995343094	0.999322805545719	0.999205363388034	NA
BONE	CDK10_ENSG00000185324	18	99	-3.01	-0.575	-0.28	-0.295	0	3	0	3.03030303030303	-1.93	-4.58	-0.0866284574161362	0.176517915468612	0.176382453365494	NA
BONE	CDK19_ENSG00000155111	18	99	-2.645	-0.22	-0.32	0.1	0	0	0	0	-2.17	-2.34	0.0298106864335047	0.625159777176326	0.627352027629816	NA
BONE	CDK2_ENSG00000123374	18	99	-0.69625	0.635	0.715	-0.08	1	6	5.55555555555556	6.06060606060606	-1.4	-1.39	-0.107733023194759	0.124843887560288	0.124764311764418	NA
BONE	CDK3_ENSG00000250506	18	99	-1.59	0.135	-0.29	0.425	0	9	0	9.09090909090909	-0.56	-2.58	0.268306733609089	0.998276882964465	0.99809530694349	NA
BONE	CDK4_ENSG00000135446	18	99	-3.085	-0.505	-0.34	-0.165	0	6	0	6.06060606060606	-2.01	-8.35	-0.0824170081477698	0.188507683202033	0.188380207420537	NA
BONE	CDK5_ENSG00000164885	18	99	-2.13	-0.11	0	-0.11	0	0	0	0	-1.97	-2.04	-0.0662886637078641	0.23881960224255	0.238798356368186	NA
BONE	CDK5R1_ENSG00000176749	18	99	-2.435	-0.325	-0.45	0.125	1	4	5.55555555555556	4.04040404040404	-3.88	-11.54	0.066635652027834	0.762333854755077	0.764688340596557	NA
BONE	CDK5R2_ENSG00000171450	18	99	-3.055	-0.1	-0.5	0.4	0	4	0	4.04040404040404	-2.26	-3.73	0.147297930765838	0.943496594786226	0.944107897452667	NA
BONE	CDK6_ENSG00000105810	18	99	-1.565	0.155	-0.08	0.235	0	8	0	8.08080808080808	-0.53	-9.77	0.171146167175545	0.967480523257386	0.967632073658601	NA
BONE	CDK7_ENSG00000134058	18	99	-1.095	0.705	0.41	0.295	0	1	0	1.01010101010101	-0.34	-1.84	0.160285888002514	0.957855288777141	0.958194632458459	NA
BONE	CDK8_ENSG00000132964	18	99	-0.575	0.815	0.72	0.095	0	2	0	2.02020202020202	-0.38	-1.11	0.0596248356832025	0.738453597249515	0.740846287440947	NA
BONE	CDK9_ENSG00000136807	18	99	-1.685	0.845	0.29	0.555	0	0	0	0	-0.53	-1.34	0.2034217175664	0.986088473804717	0.985907308258433	NA
BONE	CDKL1_ENSG00000100490	18	99	-2.8175	-0.635	-0.52	-0.115	1	2	5.55555555555556	2.02020202020202	-4.34	-3.28	-0.0095996586377946	0.459269540058091	0.4605166938737	NA
BONE	CDKL2_ENSG00000138769	18	99	-2.86625	-1.385	-0.195	-1.19	1	1	5.55555555555556	1.01010101010101	-2.87	-3.29	-0.461843140940863	9.02179798632868e-08	3.73164243130074e-07	NA
BONE	CDKL3_ENSG00000006837	18	99	-0.6	0.81	0.87	-0.0599999999999999	0	8	0	8.08080808080808	-0.32	-2.33	-0.0189388020940444	0.419695240975059	0.420662167036507	NA
BONE	CDKL4_ENSG00000205111	18	99	-3.59	-0.84	-0.86	0.0199999999999999	0	2	0	2.02020202020202	-2.62	-5.49	0.0582181898398345	0.733520036018404	0.73591643363841	NA
BONE	CDKL5_ENSG00000008086	18	99	-2.23	0.605	0.21	0.395	0	2	0	2.02020202020202	-0.82	-4.18	0.219201972958722	0.991214342309395	0.990976560791683	NA
BONE	CDKN1A_ENSG00000124762	18	99	-0.335	0.97	1.06	-0.0900000000000001	1	3	5.55555555555556	3.03030303030303	-0.34	-0.63	-0.104867599149173	0.130242924212705	0.13015025156131	NA
BONE	CDKN1B_ENSG00000111276	18	99	-2.385	-0.1	0	-0.1	0	2	0	2.02020202020202	-0.92	-2.95	-0.0245499770628862	0.396376608801159	0.397187368262508	NA
BONE	CDKN1C_ENSG00000129757	18	99	-2.165	0.24	-0.18	0.42	1	5	5.55555555555556	5.05050505050505	-2.19	-4.05	0.139591216212081	0.933329719883487	0.93412297834354	NA
BONE	CDKN2B_ENSG00000147883	18	99	-0.51	0.685	0.74	-0.0549999999999999	0	1	0	1.01010101010101	-0.06	-0.57	-0.0101711049342008	0.456665130152421	0.457882935958092	NA
BONE	CDKN2C_ENSG00000123080	18	99	-2.225	-0.43	0.04	-0.47	0	3	0	3.03030303030303	-1.6	-2.98	-0.155020796998651	0.0475678088772451	0.0478718814864962	NA
BONE	CDKN2D_ENSG00000129355	18	99	-3.725	-1.285	-1.08	-0.205	1	3	5.55555555555556	3.03030303030303	-3.73	-8.33	-0.0799642804893762	0.195713368703563	0.195594173096897	NA
BONE	CERK_ENSG00000100422	18	99	-1.295	0.015	0.48	-0.465	0	2	0	2.02020202020202	-0.99	-1.63	-0.220253729786775	0.00851149880772491	0.00893193160718589	NA
BONE	CHEK1_ENSG00000149554	18	99	-9.06	-3.31	-3.2	-0.11	1	9	5.55555555555556	9.09090909090909	-9.89	-14.1	-0.0505014854504047	0.294344315046894	0.29455009234714	NA
BONE	CHEK2_ENSG00000183765	18	99	-0.775	0.485	0.5	-0.015	0	3	0	3.03030303030303	0.13	-1.71	0.0946972038922278	0.845088536503404	0.847010930919835	NA
BONE	CHKA_ENSG00000110721	18	99	-3.255	-0.88	-1.02	0.14	1	3	5.55555555555556	3.03030303030303	-4.14	-3.77	0.0462215560132456	0.688885456105771	0.691280708995044	NA
BONE	CHKB_ENSG00000100288	18	99	-0.815	1.185	0.55	0.635	0	2	0	2.02020202020202	0.34	-2.56	0.38720924666046	0.999991940661902	0.999985044883841	NA
BONE	CHUK_ENSG00000213341	18	99	-1.655	-0.325	0.24	-0.565	0	0	0	0	-0.94	-1.46	-0.282332670117961	0.00102082868469031	0.00119457466466334	NA
BONE	CIB2_ENSG00000136425	18	99	-3.855	-1.125	-0.56	-0.565	1	2	5.55555555555556	2.02020202020202	-4.26	-5.97	-0.171498161636621	0.0322403129491102	0.0326415566277147	NA
BONE	CIT_ENSG00000122966	18	99	-4.605	-0.59	-1.52	0.93	0	6	0	6.06060606060606	-4.37	-12.13	0.210078447985431	0.988498361180463	0.988286286650849	NA
BONE	CKB_ENSG00000166165	18	99	-0.48	1.01	0.76	0.25	0	2	0	2.02020202020202	0.28	-0.98	0.170823941195152	0.967223246419905	0.967379858123963	NA
BONE	CKM_ENSG00000104879	18	99	-2.1825	0.215	-0.095	0.31	0	1	0	1.01010101010101	-1.21	-3.51	0.0910209103030068	0.834406941756608	0.836433091189808	NA
BONE	CKMT1B_ENSG00000237289	18	99	-2.74	-0.515	-0.58	0.0649999999999999	0	2	0	2.02020202020202	-1.75	-4.06	0.105915416907873	0.872136805409821	0.873796234677471	NA
BONE	CKMT2_ENSG00000131730	18	99	-2.555	-0.37	-0.17	-0.2	0	1	0	1.01010101010101	-2.47	-3.74	-0.0280576422769741	0.381977800751434	0.382694106293238	NA
BONE	CKS1B_ENSG00000173207	18	99	-1.06	0.08	0.33	-0.25	1	4	5.55555555555556	4.04040404040404	-1.7	-1.39	-0.166244645045644	0.0366152451923178	0.0369903929007485	NA
BONE	CKS2_ENSG00000123975	18	99	-0.0600000000000001	1.17	0.92	0.25	0	1	0	1.01010101010101	0.46	-0.18	0.227283083630648	0.993137658723167	0.992890672154348	NA
BONE	CLK1_ENSG00000013441	18	99	-0.795	0.58	0.66	-0.08	0	1	0	1.01010101010101	-0.23	-1.13	-0.0445425085087571	0.316729211779374	0.31705142411623	NA
BONE	CLK2_ENSG00000261893	18	99	-0.765	0.785	0.7	0.0850000000000001	0	1	0	1.01010101010101	-0.13	-0.92	0.0862770883652522	0.822500351890577	0.824592609906229	NA
BONE	CLK3_ENSG00000179335	18	99	-3.595	-0.885	-0.99	0.105	0	3	0	3.03030303030303	-2.78	-5.06	0.0157822463774383	0.567057922356534	0.568971909559963	NA
BONE	CLK4_ENSG00000113240	18	99	-2.72125	-0.835	-0.115	-0.72	1	0	5.55555555555556	0	-3.09	-2.06	-0.377230305019153	1.49524273352955e-05	2.65516143162792e-05	NA
BONE	COASY_ENSG00000068120	18	99	-5.07	-1.475	-1.31	-0.165	0	2	0	2.02020202020202	-3.15	-8.23	-0.12017073238808	0.0994094768342885	0.0994180101922128	NA
BONE	COL4A3BP_ENSG00000113163	18	99	-1.53	0.535	0.18	0.355	0	6	0	6.06060606060606	-1.22	-7.23	0.152123426346223	0.947703299057	0.948246316100101	NA
BONE	COMMD3_ENSG00000148444	18	99	-3.3	-0.675	-0.57	-0.105	0	4	0	4.04040404040404	-2.12	-4.33	0.0227960656280723	0.596369657677839	0.598435011323247	NA
BONE	CPNE3_ENSG00000085719	18	99	-0.96	0.145	0.32	-0.175	1	6	5.55555555555556	6.06060606060606	-1.14	-1.66	-0.0982028518497605	0.146085708449304	0.145964428076401	NA
BONE	CRIM1_ENSG00000261899	18	99	-1.69	0.4	0.31	0.09	0	4	0	4.04040404040404	-0.88	-3.03	0.0582203712441098	0.733527722716446	0.735924161758379	NA
BONE	CDK12_ENSG00000167258_CRK7	18	99	-2.805	0.365	0.04	0.325	0	1	0	1.01010101010101	-0.86	-7.31	0.150106980091973	0.946886782227465	0.947435288379149	NA
BONE	CRKL_ENSG00000099942	18	99	-1.915	0.165	0.16	0.00499999999999998	0	2	0	2.02020202020202	-1.75	-2.09	0.0161328118468946	0.56853306712787	0.570455126300665	NA
BONE	CSF1R_ENSG00000182578	18	99	-3.96	-0.715	-1.12	0.405	0	5	0	5.05050505050505	-1.39	-4.93	0.240941843311445	0.995563043419657	0.995322492365693	NA
BONE	CSK_ENSG00000103653	18	99	-1.05	0.665	0.62	0.045	0	3	0	3.03030303030303	-0.8	-1.34	0.0224461558735732	0.594918511340383	0.59697691244258	NA
BONE	CTB.89H12.4_ENSG00000230551	18	99	-3.14625	-0.16	-0.125	-0.035	0	0	0	0	-1.95	-2.89	-0.0458650357139075	0.312460033540676	0.31276254638842	NA
BONE	CSNK1A1L_ENSG00000180138	18	99	-1.49	0.81	0.35	0.46	0	1	0	1.01010101010101	-0.51	-1.62	0.1918434102486	0.980872509031948	0.980773552652403	NA
BONE	CSNK1D_ENSG00000141551	18	99	-2.035	-0.275	0.16	-0.435	0	1	0	1.01010101010101	-1.93	-2.25	-0.203768245285413	0.0137762364236464	0.0142304631628457	NA
BONE	CSNK1E_ENSG00000213923	18	99	-4.075	-1.21	-1.23	0.02	0	3	0	3.03030303030303	-2.7	-7.94	0.0571657326024435	0.729798591575776	0.732196954561145	NA
BONE	CSNK1G1_ENSG00000169118	18	99	-5.075	-1.295	-1.34	0.0450000000000002	0	9	0	9.09090909090909	-3.91	-9.35	0.147297654827544	0.94349625368588	0.944107561823357	NA
