marker	target	nA	nB	med.grpA	med.grpB	med.grpA-med.grpB	min.grpA	min.grpB	spearman.r	spearman.p	wilcox.p	PermutationP	FDR
Breast	NUAK1_ENSG00000074590	27	90	0.33	0.775	-0.445	-1.59	-1.55	-0.289837565	0.000762878	0.000909144	0.000467	0.04167975
Breast	STK17A_ENSG00000164543	27	90	-0.93	-0.22	-0.71	-1.99	-2.72	-0.318053167	0.000237446	0.000310466	0.00054	0.045658421
Breast	UHMK1_ENSG00000152332	27	90	-0.48	0.235	-0.715	-1.75	-3.08	-0.262790327	0.002101678	0.002348555	0.00061	0.047803171
Breast	CDKL3_ENSG00000006837	27	90	0.53	0.92	-0.39	-2.33	-1.14	-0.283518533	0.00097542	0.001142861	0.00062	0.048001446
Breast	IP6K2_ENSG00000068745	27	90	-0.22	0.21	-0.43	-1.62	-2.48	-0.348041523	0.0000691	0.00010254	0.00064	0.04896
Breast	MAP2K5_ENSG00000137764	27	90	0.395	0.735	-0.34	-0.99	-1.58	-0.209912012	0.011861154	0.012296222	0.00069	0.050385682
Breast	SGK2_ENSG00000101049	27	90	-0.46	0.07	-0.53	-2.47	-2.32	-0.29853876	0.00053886	0.000658783	0.00075	0.05355
Breast	MAPK8_ENSG00000107643	27	90	0.21	0.61	-0.4	-3.16	-1.57	-0.278412797	0.001184874	0.001370593	0.00084	0.057047143
Breast	MAP3K11_ENSG00000173327	27	90	-0.99	-0.25	-0.74	-2.67	-2.5	-0.226274976	0.007294378	0.007691838	0.00087	0.057047143
Breast	BMX_ENSG00000102010	27	90	0.08	0.48	-0.4	-2.76	-1.17	-0.353469054	0.0000497	0.0000762	0.0009	0.057261386
Breast	STK11_ENSG00000118046	27	90	-1.32	-0.48	-0.84	-5.46	-5.8	-0.161757592	0.04139174	0.04169499	0.0009	0.057261386
Breast	TPD52L3_ENSG00000170777	27	90	-0.28	0.23	-0.51	-1.95	-2.82	-0.239969606	0.004580403	0.004921208	0.00099	0.061170577
Breast	RPS6KA4_ENSG00000162302	27	90	-1.175	-0.515	-0.66	-5.02	-4.14	-0.28338285	0.001026277	0.00120016	0.00099	0.061170577
Breast	LMTK2_ENSG00000164715	27	90	-0.1	0.415	-0.515	-1.55	-2.51	-0.147468164	0.056293277	0.056477947	0.00104	0.061312294
Breast	TSSK1B_ENSG00000212122	27	90	0.245	0.67	-0.425	-2.135	-1.42	-0.251976494	0.003065909	0.003357723	0.00108	0.06198531
Breast	PAK6_ENSG00000137843	27	90	-0.14	0.32	-0.46	-2.12	-2.45	-0.311160653	0.000319191	0.000406885	0.00119	0.067053913
Breast	PRKCA_ENSG00000154229	27	90	-0.545	0.17	-0.715	-1.59	-2.6	-0.277213195	0.001295024	0.00149157	0.00163	0.079957099
Breast	RPS6KA3_ENSG00000177189	27	90	0.32	0.63	-0.31	-1.34	-1.86	-0.184109259	0.023456485	0.023869601	0.0018	0.084171549
Breast	CRIM1_ENSG00000261899	27	90	0.01	0.45	-0.44	-3.03	-1.89	-0.185912352	0.022380655	0.022798632	0.002	0.088634483
Breast	DDR2_ENSG00000162733	27	90	0.21	0.58	-0.37	-0.63	-1.45	-0.210538904	0.011349065	0.011776648	0.00224	0.0959616
Lung	DGKQ_ENSG00000145214	19	98	-3.04	-0.58	-2.46	-6.8	-13.4	-0.497144921	5.93E-09	4.38E-08	0.000001	0.0016065
Lung	FGFR3_ENSG00000068078	19	98	-1.85	-0.465	-1.385	-11.13	-4.27	-0.351332759	0.0000514	0.0000783	0.00001	0.004943077
Lung	ANKK1_ENSG00000170209	19	98	-0.38	0.3	-0.68	-3.84	-1.59	-0.366976105	0.0000254	0.0000422	0.000017	0.006069
Lung	CDK12_ENSG00000167258_CRK7	19	98	-1.17	0.18	-1.35	-7.31	-2.59	-0.222329011	0.007992206	0.008404448	0.000017	0.006069
Lung	DGUOK_ENSG00000114956	19	98	-1.18	-0.08	-1.1	-3.71	-3.38	-0.288891557	0.000791752	0.000942549	0.000033	0.0089964
Lung	MARK4_ENSG00000007047	19	98	-1.62	-0.66	-0.96	-8.49	-3.65	-0.332462347	0.000124998	0.000173758	0.000043	0.010234
Lung	PEAK1_ENSG00000173517	19	98	-1.19	-0.48	-0.71	-4.91	-2.61	-0.401777256	0.00000356	0.00000768	0.000087	0.0186354
Lung	SMG1_ENSG00000157106	19	98	-2.14	-1.085	-1.055	-5.83	-4.57	-0.346332177	0.0000749	0.000110355	0.000121	0.023814
Lung	ITK_ENSG00000113263	19	98	-0.48	0.575	-1.055	-2.26	-3.12	-0.300903495	0.000489363	0.000603683	0.000146	0.025119818
Lung	FUK_ENSG00000157353	19	98	-1.27	-0.325	-0.945	-3.96	-3.36	-0.315996584	0.000259551	0.000337309	0.000177	0.0252756
Lung	RIOK1_ENSG00000124784	19	98	-1.81	-0.65	-1.16	-5.39	-5.75	-0.336576375	0.000103465	0.000146539	0.000219	0.027594
Lung	PNKP_ENSG00000039650	19	98	-2.08	-1.11	-0.97	-7.06	-4.99	-0.320792795	0.000210687	0.000278896	0.000253	0.029676436
Lung	TAOK1_ENSG00000160551	19	98	-0.64	0.41	-1.05	-6.52	-2.3	-0.229537988	0.006395968	0.006783949	0.000348	0.035496
Lung	PIP4K2A_ENSG00000150867	19	98	0.35	0.885	-0.535	-1.31	-1.07	-0.256642409	0.002609875	0.002886284	0.000478	0.042077096
Lung	CDK3_ENSG00000250506	19	98	-0.64	-0.085	-0.555	-2.17	-2.58	-0.326298191	0.000165119	0.000223512	0.00053	0.0454104
Lung	MAP4K1_ENSG00000104814	19	98	-1.35	-0.5	-0.85	-3.12	-5.48	-0.203113871	0.014032661	0.014484502	0.000571	0.046446152
Lung	CKMT1B_ENSG00000237289	19	98	-1.17	-0.47	-0.7	-2.62	-4.06	-0.3012387	0.000482694	0.000596089	0.00059	0.046806667
Lung	TNIK_ENSG00000154310	19	98	-0.42	0.195	-0.615	-1.6	-2.11	-0.254584257	0.002802998	0.003088252	0.00065	0.04914
Lung	MAP2K4_ENSG00000065559	19	98	-0.05	0.48	-0.53	-2.06	-1.05	-0.25184001	0.003194425	0.003498857	0.00078	0.054481304
Lung	PRKCB_ENSG00000166501	19	98	-0.83	-0.225	-0.605	-2.92	-2.04	-0.24394159	0.004019013	0.004349834	0.00087	0.057047143
Lung	CDK6_ENSG00000105810	19	98	-0.58	0.04	-0.62	-9.77	-2.76	-0.207914123	0.012242565	0.012688716	0.00089	0.057261386
Lung	RPS6KA2_ENSG00000071242	19	98	-3	-1.87	-1.13	-9.81	-6.15	-0.283049815	0.000993145	0.001164003	0.00102	0.061257196
Lung	RPS6KB1_ENSG00000108443	19	98	-0.7	0.085	-0.785	-8.74	-2.07	-0.237422757	0.004975713	0.005333446	0.00109	0.06198531
Lung	STK3_ENSG00000104375	19	98	-0.57	0	-0.57	-2.37	-2.39	-0.310165019	0.000332933	0.000423616	0.0012	0.067053913
Lung	MAP2K7_ENSG00000076984	19	98	-1.67	-0.66	-1.01	-9.48	-6.27	-0.285111029	0.00091732	0.001080933	0.00127	0.070250339
Lung	PRKCG_ENSG00000126583	19	98	0.23	0.64	-0.41	-0.39	-0.71	-0.226798635	0.007177913	0.007582508	0.0015	0.07752
Lung	CDK16_ENSG00000102225	19	98	-0.87	0.005	-0.875	-3.91	-3.83	-0.246691907	0.003666792	0.003985948	0.00152	0.07752
Lung	TK2_ENSG00000166548	19	98	-0.22	0.67	-0.89	-1.39	-1.85	-0.263843656	0.002024107	0.002269946	0.00158	0.079320938
Lung	CDK1_ENSG00000170312	19	98	-2.19	-1.185	-1.005	-12.16	-13.77	-0.225757054	0.007194536	0.007595723	0.00161	0.079583538
Lung	AKT3_ENSG00000117020	19	98	-1.37	-0.44	-0.93	-3.11	-3.3	-0.244877926	0.004032725	0.004367015	0.00177	0.084171549
Lung	RELA_ENSG00000173039	19	98	-2.18	-1.28	-0.9	-5.02	-4.91	-0.295059094	0.000620033	0.00075128	0.00186	0.084171549
Lung	SBK1_ENSG00000188322	19	98	-0.52	0.305	-0.825	-4.39	-2.39	-0.206545622	0.012731815	0.013179913	0.0019	0.0847875
Lung	NME7_ENSG00000143156	19	98	0.18	0.715	-0.535	-2.05	-0.8	-0.244068336	0.004286517	0.004631784	0.0021	0.091430336
Lung	NEK2_ENSG00000117650	19	98	-0.93	-0.31	-0.62	-2.21	-3.31	-0.212037193	0.010864557	0.011303395	0.00212	0.091430336
Lung	TSKS_ENSG00000126467	19	98	0	0.59	-0.59	-2.16	-1.71	-0.227134969	0.006893987	0.007290477	0.00229	0.097453907
Oesoph	NEK9_ENSG00000119638	14	103	-1.125	-0.01	-1.115	-4	-2.77	-0.38948996	0.00000711	0.0000139	0.000163	0.025119818
Oesoph	NIM1K_ENSG00000177453	14	103	-0.465	0.38	-0.845	-1.94	-1.65	-0.308388598	0.000358809	0.000454545	0.000171	0.025119818
Oesoph	MAP3K5_ENSG00000197442	14	103	-0.06	0.61	-0.67	-1.76	-1.27	-0.305071773	0.000434401	0.000542907	0.000314	0.0340578
Oesoph	CDKN2C_ENSG00000123080	14	103	-0.96	0.04	-1	-2.11	-2.98	-0.306451296	0.000389121	0.000489693	0.000318	0.0340578
Oesoph	CMPK1_ENSG00000162368	14	103	-0.79	-0.16	-0.63	-2.12	-1.74	-0.189287489	0.020923087	0.021400618	0.000433	0.0397494
Oesoph	JAK1_ENSG00000162434	14	103	-0.55	0.35	-0.9	-3.25	-2.35	-0.218726688	0.008912034	0.009347454	0.00074	0.053429663
Oesoph	NLK_ENSG00000087095	14	103	-1.225	-0.42	-0.805	-4.23	-2.94	-0.282929705	0.001044145	0.001223394	0.00087	0.057047143
Oesoph	KCNH2_ENSG00000055118	14	103	-1.245	-0.45	-0.795	-3.38	-4.36	-0.310202433	0.000350999	0.000446373	0.00101	0.061257196
Oesoph	PDK1_ENSG00000152256	14	103	-0.565	0.09	-0.655	-2.23	-1.73	-0.169601226	0.033768118	0.034192466	0.00152	0.07752
Oesoph	FXN_ENSG00000165060	14	103	0.105	0.65	-0.545	-0.6	-4.25	-0.23782893	0.004910725	0.005274458	0.00184	0.084171549
Oesoph	MAP4K2_ENSG00000168067	14	103	-0.89	-0.1	-0.79	-3.63	-6.12	-0.166089123	0.036751722	0.037160233	0.00185	0.084171549
Oesoph	SCYL3_ENSG00000000457	14	103	-0.985	-0.19	-0.795	-2.92	-2.21	-0.227298669	0.006859019	0.007265079	0.00186	0.084171549
Oesoph	AATK_ENSG00000181409	14	103	-1.43	-0.13	-1.3	-3.38	-4.18	-0.240260547	0.004690736	0.005051708	0.00207	0.091108356
Oesoph	XYLB_ENSG00000093217	14	103	-0.215	0.54	-0.755	-1.6	-3.03	-0.274788897	0.001479213	0.001696634	0.00212	0.091430336
Osteo	MAP3K6_ENSG00000142733	18	99	-1.065	0.235	-1.3	-3.04	-2.14	-0.462912423	8.38E-08	0.000000352	0.000001	0.0016065
Osteo	MAP4K3_ENSG00000011566	18	99	-1.445	-0.255	-1.19	-4.06	-2.53	-0.422036739	0.00000119	0.00000306	0.000003	0.003213
Osteo	GALK2_ENSG00000156958	18	99	-2.49	-0.49	-2	-5.91	-5.66	-0.453818761	0.000000138	0.00000052	0.000005	0.0037485
Osteo	CDKL2_ENSG00000138769	18	99	-1.385	-0.195	-1.19	-2.87	-3.29	-0.461843141	9.02E-08	0.000000373	0.000006	0.0037485
Osteo	DLG1_ENSG00000075711	18	99	-0.73	0.11	-0.84	-2.37	-3.98	-0.325821813	0.000168668	0.000227934	0.000016	0.006069
Osteo	STK33_ENSG00000130413	18	99	-1.36	-0.21	-1.15	-4.2	-4.57	-0.337742603	0.000098	0.000139627	0.000016	0.006069
Osteo	PRKD1_ENSG00000184304	18	99	-0.63	0.28	-0.91	-1.78	-3.59	-0.353174911	0.000047	0.0000723	0.000052	0.011934
Osteo	ACVR1B_ENSG00000135503	18	99	-0.325	0.41	-0.735	-1.62	-1.7	-0.339854559	0.0000888	0.000127807	0.000061	0.013516759
Osteo	ACVR2B_ENSG00000114739	18	99	-1.19	0.21	-1.4	-3.5	-4.66	-0.3693101	0.0000209	0.0000354	0.000124	0.023814
Osteo	PDGFRA_ENSG00000134853	18	99	-0.765	0.13	-0.895	-3.03	-1.79	-0.370012237	0.0000201	0.0000343	0.000146	0.025119818
Osteo	PANK2_ENSG00000125779	18	99	-0.62	0.09	-0.71	-2.3	-2.68	-0.214994101	0.00996031	0.010394908	0.000153	0.025119818
Osteo	MOK_ENSG00000080823	18	99	-1.135	-0.23	-0.905	-4.08	-2.91	-0.284432217	0.000941691	0.001107974	0.000169	0.025119818
Osteo	C9orf96_ENSG00000260489	18	99	-1.535	-0.52	-1.015	-3.04	-6.13	-0.260232682	0.002301219	0.002562942	0.000183	0.025564304
Osteo	MPP2_ENSG00000108852	18	99	-0.965	-0.26	-0.705	-2.35	-3.74	-0.240593832	0.004487842	0.004833795	0.000227	0.028051962
Osteo	RPS6KB2_ENSG00000175634	18	99	-0.19	0.36	-0.55	-1.01	-1.69	-0.286541356	0.000867831	0.001026806	0.000252	0.029676436
Osteo	TGFBR2_ENSG00000163513	18	99	-1.615	-0.42	-1.195	-3.1	-3.39	-0.350017776	0.0000548	0.0000829	0.000254	0.029676436
Osteo	MLKL_ENSG00000168404	18	99	-0.915	-0.14	-0.775	-1.82	-1.89	-0.233927963	0.005566838	0.005939746	0.0005	0.043418919
Osteo	TP53RK_ENSG00000172315	18	99	-0.36	0.36	-0.72	-3.42	-1.82	-0.308963227	0.000369675	0.000467399	0.00055	0.0459
Osteo	PFKFB4_ENSG00000114268	18	99	-1.19	-0.15	-1.04	-2.78	-2.81	-0.326163981	0.000166112	0.000224799	0.00056	0.046135385
Osteo	PIP4K2B_ENSG00000141720	18	99	-1.535	-0.7	-0.835	-3.15	-6.99	-0.284784536	0.000928969	0.001094019	0.00058	0.0465885
Osteo	HSPB8_ENSG00000152137	18	99	-0.65	0.26	-0.91	-2.7	-2.23	-0.251810735	0.003083339	0.003381368	0.00067	0.050063023
Osteo	ADPGK_ENSG00000159322	18	99	-1.005	-0.3	-0.705	-2.93	-3.57	-0.292149653	0.000696293	0.000836784	0.00085	0.057047143
Osteo	FGFR2_ENSG00000066468	18	99	-1.77	-0.73	-1.04	-3.42	-3.57	-0.279373591	0.001248665	0.001445743	0.00096	0.06048
Osteo	PRKACA_ENSG00000072062	18	99	-0.98	-0.15	-0.83	-2.45	-2.89	-0.333183878	0.000120944	0.000168718	0.00109	0.06198531
Osteo	PDK2_ENSG00000005882	18	99	-0.525	0.16	-0.685	-1.92	-2.15	-0.28583616	0.000891919	0.001053317	0.00129	0.070250339
Osteo	TESK1_ENSG00000107140	18	99	-0.945	-0.3	-0.645	-3.31	-2.51	-0.277762333	0.001214291	0.0014049	0.00129	0.070250339
Osteo	CHUK_ENSG00000213341	18	99	-0.325	0.24	-0.565	-0.94	-1.46	-0.28233267	0.001020829	0.001194575	0.00141	0.074881488
Osteo	CLK4_ENSG00000113240	18	99	-0.835	-0.115	-0.72	-3.09	-2.06	-0.377230305	0.000015	0.0000266	0.00143	0.075321148
Osteo	FGFR1_ENSG00000077782	18	99	-0.77	-0.08	-0.69	-4.93	-2.57	-0.273555862	0.001420989	0.001627819	0.00154	0.077921575
Osteo	KSR1_ENSG00000141068	18	99	-2.12	-0.79	-1.33	-5.19	-5.2	-0.31283392	0.000297262	0.00038196	0.00177	0.084171549
Osteo	PAPSS2_ENSG00000198682	18	99	-0.235	0.39	-0.625	-1.66	-1.66	-0.297758939	0.000556158	0.000679584	0.00177	0.084171549
Osteo	ITPKC_ENSG00000086544	18	99	-0.16	0.51	-0.67	-1.02	-1.42	-0.278481491	0.001181805	0.001369707	0.0018	0.084171549
Osteo	CDC42BPB_ENSG00000198752	18	99	0.005	0.45	-0.445	-1.87	-1.72	-0.246215959	0.003725716	0.004047883	0.0019	0.0847875
Ovary	FGR_ENSG00000000938	19	98	-2.95	-1.095	-1.855	-9.09	-4.64	-0.356820328	0.0000392	0.0000617	0.000001	0.0016065
Ovary	TWF1_ENSG00000151239	19	98	-0.52	0.795	-1.315	-11.82	-4.43	-0.397317621	0.00000459	0.00000953	0.000006	0.0037485
Ovary	CRKL_ENSG00000099942	19	98	-0.83	0.28	-1.11	-2.09	-1.98	-0.351330784	0.0000514	0.0000783	0.000007	0.0037485
Ovary	HIPK4_ENSG00000160396	19	98	-0.02	0.685	-0.705	-2.1	-1.01	-0.397653277	0.00000451	0.00000938	0.000012	0.005508
Ovary	RP4.592A1.2_ENSG00000185839	19	98	-0.92	0.075	-0.995	-4.3	-5.86	-0.308101784	0.000363156	0.000458769	0.000025	0.00765
Ovary	BRD2_ENSG00000236227	19	98	-0.46	0.43	-0.89	-2.68	-5.3	-0.335662989	0.00011502	0.000161664	0.000034	0.0089964
Ovary	MAP3K1_ENSG00000095015	19	98	-1.12	-0.02	-1.1	-6.59	-3.44	-0.312217787	0.000305171	0.000391135	0.000165	0.025119818
Ovary	VRK3_ENSG00000105053	19	98	-0.02	0.66	-0.68	-1.31	-1.11	-0.252866835	0.002973781	0.003266428	0.000165	0.025119818
Ovary	DCK_ENSG00000156136	19	98	-2.65	-0.89	-1.76	-8.01	-9.61	-0.237763181	0.004921194	0.005277556	0.000198	0.026641125
Ovary	LRRK2_ENSG00000188906	19	98	-0.17	0.525	-0.695	-1.21	-1.54	-0.270715286	0.001577972	0.001795628	0.000199	0.026641125
Ovary	GUCY2C_ENSG00000070019	19	98	-0.17	0.325	-0.495	-0.76	-1.26	-0.237778771	0.00491871	0.005275012	0.000207	0.027146571
Ovary	PIP4K2B_ENSG00000141720	19	98	-1.62	-0.74	-0.88	-6.99	-3.67	-0.289921948	0.00076035	0.000907762	0.000282	0.0323595
Ovary	IKBKB_ENSG00000104365	19	98	-1.09	-0.245	-0.845	-3.92	-2.47	-0.288544671	0.000802586	0.000954533	0.000346	0.035496
Ovary	ATR_ENSG00000175054	19	98	-1.26	-0.385	-0.875	-2.61	-5.61	-0.248414874	0.003460326	0.003772116	0.00038	0.036829612
Ovary	NME3_ENSG00000103024	19	98	-0.89	0.025	-0.915	-2.96	-3.29	-0.209975432	0.011536013	0.011978774	0.000384	0.036829612
Ovary	XRCC6BP1_ENSG00000262145	19	98	-0.15	0.395	-0.545	-2.17	-2.36	-0.28614728	0.000881218	0.001041257	0.00045	0.040728169
Ovary	PAK4_ENSG00000130669	19	98	-0.31	0.205	-0.515	-2.18	-2.13	-0.283402993	0.000979762	0.001149367	0.00068	0.050226207
Ovary	HK2_ENSG00000159399	19	98	-1.38	-0.76	-0.62	-3.52	-4.75	-0.307417316	0.000373724	0.000471016	0.00078	0.054481304
Ovary	RIPK3_ENSG00000129465	19	98	-0.23	0.305	-0.535	-1.84	-1.41	-0.206892597	0.012606215	0.013053846	0.00084	0.057047143
Ovary	DSTYK_ENSG00000133059	19	98	-0.2	0.425	-0.625	-1.62	-2.21	-0.321832929	0.000201277	0.00026754	0.00102	0.061257196
Ovary	BCKDK_ENSG00000103507	19	98	-1.4	-0.26	-1.14	-6.62	-4.1	-0.243829725	0.004174488	0.004513203	0.00104	0.061312294
Ovary	CDK12_ENSG00000167258_CRK7	19	98	-0.74	0.29	-1.03	-2.59	-7.31	-0.33761072	0.0000986	0.000140353	0.00109	0.06198531
Ovary	TRIB1_ENSG00000173334	19	98	-0.55	0.23	-0.78	-2.72	-3.27	-0.24841022	0.003460869	0.003772678	0.00134	0.0722925
Ovary	JAK3_ENSG00000105639	19	98	-0.38	0.165	-0.545	-1.52	-1.78	-0.188708361	0.020793822	0.02124158	0.00135	0.0722925
Ovary	SGK223_ENSG00000182319	19	98	-1.38	-0.52	-0.86	-7.55	-3.01	-0.282707783	0.001006262	0.00117834	0.0015	0.07752
Ovary	MST1R_ENSG00000164078	19	98	-1.28	-0.53	-0.75	-3.4	-3.22	-0.259376072	0.002371739	0.002636456	0.00161	0.079583538
Ovary	MAP2K3_ENSG00000034152	19	98	-1.55	-0.73	-0.82	-3.28	-4.61	-0.180125309	0.025986297	0.026414646	0.00172	0.083732727
Ovary	MPP3_ENSG00000161647	19	98	-1.5	-0.425	-1.075	-4.63	-9.49	-0.215462564	0.009823171	0.010254383	0.00185	0.084171549
